"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"1","1","Ig","Rcr","0.0808595107293717","0.0477455581665245"
"2","1","Ig","Ramox","-0.707758568280098","0.0330024364185854"
"3","1","Ig","Rmacro","-0.0102877626568257","0.039536726348885"
"4","1","Ig","ConsoAmox","0.879712476878179","0.0140943659222664"
"5","1","Ig","ConsoMacro","-0.035537414924274","0.0410210493833293"
"6","1","Ig","pi","-0.971091336376178","0.00305250489738888"
"7","1","Ig","LambdaAge","-0.749785247014933","0.0249680768739223"
"8","1","Ig","TreatmentDuration_Amox","0.530983911401961","0.0315667645122708"
"9","1","Ig","TreatmentDuration_Macro","0.0119058719408552","0.0488583798967581"
"10","2","Ig","Rcr","0.0895695269392799","0.0386281667403746"
"11","2","Ig","Ramox","-0.775958980818898","0.0260629939463533"
"12","2","Ig","Rmacro","-0.0236772636289927","0.0360474540310501"
"13","2","Ig","ConsoAmox","0.887083363699842","0.0125246984337847"
"14","2","Ig","ConsoMacro","-0.0424571346053354","0.0640530298870122"
"15","2","Ig","pi","-0.96858757193052","0.00313308835973603"
"16","2","Ig","LambdaAge","-0.374923521738241","0.0522039073244905"
"17","2","Ig","TreatmentDuration_Amox","0.527035227114315","0.0403641851870386"
"18","2","Ig","TreatmentDuration_Macro","0.0360074862014567","0.0426828714354258"
"19","3","Ig","Rcr","0.100630433104988","0.038868170828678"
"20","3","Ig","Ramox","0.846398337223847","0.0162068906740955"
"21","3","Ig","Rmacro","-0.0472059078363965","0.056965357749962"
"22","3","Ig","ConsoAmox","0.914915981212287","0.00788464594776152"
"23","3","Ig","ConsoMacro","-0.0181723379053758","0.0493101820930556"
"24","3","Ig","pi","-0.926537650764365","0.00834695107011541"
"25","3","Ig","LambdaAge","-0.567547293972991","0.0421273074096641"
"26","3","Ig","TreatmentDuration_Amox","0.742962864929065","0.0247035564698428"
"27","3","Ig","TreatmentDuration_Macro","0.040739762970421","0.0420592354801401"
"28","4","Ig","Rcr","0.261400869785469","0.039394242759907"
"29","4","Ig","Ramox","0.820343260331294","0.0287106747991211"
"30","4","Ig","Rmacro","-0.776182202481044","0.0293823209623523"
"31","4","Ig","ConsoAmox","0.432328642074239","0.0458954936755485"
"32","4","Ig","ConsoMacro","-0.0420870470741359","0.0451348350145245"
"33","4","Ig","pi","-0.348971190261659","0.0554554367878445"
"34","4","Ig","LambdaAge","-0.419341420459307","0.0422637190039497"
"35","4","Ig","TreatmentDuration_Amox","-0.625755324573272","0.0483754398101979"
"36","4","Ig","TreatmentDuration_Macro","0.76309791200168","0.0410852246037128"
"37","1","PropAns","Rcr","-0.0282442907785853","0.0467068596873523"
"38","1","PropAns","Ramox","-0.90703267770684","0.00896927042533152"
"39","1","PropAns","Rmacro","0.034549172234008","0.030895227091182"
"40","1","PropAns","ConsoAmox","0.947178349092302","0.00477113680860631"
"41","1","PropAns","ConsoMacro","-0.0305744225028295","0.049361457833042"
"42","1","PropAns","pi","0.653493029103943","0.0385572383902314"
"43","1","PropAns","LambdaAge","0.581085608016101","0.0393363609418332"
"44","1","PropAns","TreatmentDuration_Amox","0.722247045257801","0.0255150059411383"
"45","1","PropAns","TreatmentDuration_Macro","0.0627072750959954","0.0584132743352819"
"46","2","PropAns","Rcr","-0.0469663064565531","0.0387502558363954"
"47","2","PropAns","Ramox","-0.850046296699282","0.0145876139754843"
"48","2","PropAns","Rmacro","-0.00752058264245707","0.0482335957302799"
"49","2","PropAns","ConsoAmox","0.877574130326714","0.0126638069241376"
"50","2","PropAns","ConsoMacro","0.0161124019169545","0.0383087985812995"
"51","2","PropAns","pi","0.854089991770796","0.0160646123538336"
"52","2","PropAns","LambdaAge","0.791831389486539","0.0204542760287576"
"53","2","PropAns","TreatmentDuration_Amox","0.653863413464591","0.0316948101409374"
"54","2","PropAns","TreatmentDuration_Macro","0.0707714713162061","0.0397631419705564"
"55","3","PropAns","Rcr","-0.000256948448152402","0.0507636717541785"
"56","3","PropAns","Ramox","-0.906401927954981","0.00998577891727542"
"57","3","PropAns","Rmacro","-0.0135400920680359","0.0415252792963414"
"58","3","PropAns","ConsoAmox","0.671911416119703","0.0267042435240673"
"59","3","PropAns","ConsoMacro","-0.00757270081705549","0.0449756078076784"
"60","3","PropAns","pi","0.846163222222126","0.015669898066294"
"61","3","PropAns","LambdaAge","0.901008640756944","0.0123580011480894"
