"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"1","1","Ig","Rcr","0.0961635839366194","0.0418163117718919"
"2","1","Ig","Ramox","-0.645935532469606","0.0243202705181515"
"3","1","Ig","Rmacro","-0.0117003495081194","0.0513464506414759"
"4","1","Ig","ConsoAmox","0.893000167822956","0.0101349912714519"
"5","1","Ig","ConsoMacro","-0.0301329188574311","0.0423110516244335"
"6","1","Ig","pi","-0.963149382955479","0.00325265503453136"
"7","1","Ig","LambdaAge","-0.78260846628631","0.0196385137180178"
"8","1","Ig","TreatmentDuration_Amox","0.527071488450541","0.0464213528254302"
"9","1","Ig","TreatmentDuration_Macro","0.0134448009841526","0.0508448193946901"
"10","1","Ig","d2","0.0917402367882806","0.0329229600881589"
"11","1","Ig","d3","0.0439995392107291","0.0399447188005601"
"12","1","Ig","d4","-0.0124840087413036","0.0432890079620113"
"13","1","Ig","d5","0.00670264520386398","0.0404650831837346"
"14","1","Ig","d6","-0.0369684915222905","0.0428892967939414"
"15","1","Ig","d7","-0.0446338242435293","0.0527506639644197"
"16","1","Ig","d8","-0.0154245146865058","0.0482664143374525"
"17","2","Ig","Rcr","0.116744708580122","0.0238832082290604"
"18","2","Ig","Ramox","-0.708253318621073","0.0298266854733402"
"19","2","Ig","Rmacro","-0.0258285441038214","0.0331238634658874"
"20","2","Ig","ConsoAmox","0.907440182507387","0.00670034189432757"
"21","2","Ig","ConsoMacro","-0.0353709350568583","0.0479930994575078"
"22","2","Ig","pi","-0.958946525265304","0.00376709421874195"
"23","2","Ig","LambdaAge","-0.598094043094488","0.0345250552278815"
"24","2","Ig","TreatmentDuration_Amox","0.51392146224892","0.0306657183783276"
"25","2","Ig","TreatmentDuration_Macro","0.0307766583623412","0.0581655783737151"
"26","2","Ig","d2","0.103349235928215","0.0516290575901807"
"27","2","Ig","d3","0.0779313629735172","0.0461745460930897"
"28","2","Ig","d4","0.00585456895563847","0.0464648963772661"
"29","2","Ig","d5","-0.017271664071215","0.052243782033176"
"30","2","Ig","d6","-0.0605920415582892","0.0418411491489585"
"31","2","Ig","d7","-0.0643772615605442","0.0448570897289156"
"32","2","Ig","d8","-0.0140726266346061","0.037610825394488"
"33","3","Ig","Rcr","0.102282175582194","0.0392922034367827"
"34","3","Ig","Ramox","0.81434222483475","0.0158270445110164"
"35","3","Ig","Rmacro","-0.0536081937738323","0.050521973417865"
"36","3","Ig","ConsoAmox","0.91379198502557","0.00718504432834485"
"37","3","Ig","ConsoMacro","-0.0381291946754366","0.0500597471213852"
"38","3","Ig","pi","-0.913857537526548","0.00875719068661211"
"39","3","Ig","LambdaAge","-0.580484678450873","0.0274286603770559"
"40","3","Ig","TreatmentDuration_Amox","0.720844825359543","0.0208464231607537"
"41","3","Ig","TreatmentDuration_Macro","0.0681067521353185","0.0469968402388907"
"42","3","Ig","d2","-0.0570174241839543","0.0414922989044344"
"43","3","Ig","d3","0.417433778845151","0.0329239364197061"
"44","3","Ig","d4","-0.0130117515630561","0.0474656578193827"
"45","3","Ig","d5","-0.143233145687821","0.0496696884523772"
"46","3","Ig","d6","-0.162830403329718","0.0481815728813593"
"47","3","Ig","d7","-0.145203905630424","0.0464046327707197"
"48","3","Ig","d8","-0.0422740689916452","0.0486110155258063"
"49","4","Ig","Rcr","0.25756659407947","0.034617172908607"
"50","4","Ig","Ramox","0.789850800068938","0.0252690186377194"
"51","4","Ig","Rmacro","-0.750092048585002","0.042314252518195"
"52","4","Ig","ConsoAmox","0.0505447830036291","0.0473073741033094"
"53","4","Ig","ConsoMacro","0.0233439883127228","0.0435374879443934"
"54","4","Ig","pi","-0.202834426838474","0.04813197043129"
"55","4","Ig","LambdaAge","-0.197185012685826","0.0500395391845221"
"56","4","Ig","TreatmentDuration_Amox","-0.601230399581081","0.0409068057658915"
"57","4","Ig","TreatmentDuration_Macro","0.716566524103123","0.0315888543055321"
"58","4","Ig","d2","-0.101921882688353","0.0545545523719671"
"59","4","Ig","d3","-0.0816361294833218","0.0506866969306065"
"60","4","Ig","d4","-0.0218920628457141","0.0488161152411886"
"61","4","Ig","d5","0.0151647480352674","0.0480355271576196"
"62","4","Ig","d6","0.0314028433874053","0.0446673930558439"
"63","4","Ig","d7","0.0333833418071832","0.0428301728995748"
"64","4","Ig","d8","-0.0380568562378077","0.0477971583250012"
"65","1","PropAns","Rcr","-0.0147577819525617","0.0386925222277468"
"66","1","PropAns","Ramox","-0.901007214628972","0.00712643514496057"
"67","1","PropAns","Rmacro","-0.0169484735305765","0.0325889093207219"
"68","1","PropAns","ConsoAmox","0.940610310866536","0.00486699489581903"
"69","1","PropAns","ConsoMacro","0.00738930804234629","0.038580637812423"
"70","1","PropAns","pi","0.673325628888131","0.0271223823449372"
"71","1","PropAns","LambdaAge","0.582987120358411","0.0305917449518482"
"72","1","PropAns","TreatmentDuration_Amox","0.708226793896827","0.0283708208906891"
"73","1","PropAns","TreatmentDuration_Macro","0.0399205229419742","0.0347956026769435"
"74","1","PropAns","d2","-0.222733142110584","0.0472885483682648"
"75","1","PropAns","d3","-0.214055100416031","0.0501512578475931"
