"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"1","1","Ig","Rcr","0.0808595107293717","0.0446336678976697"
"2","1","Ig","Ramox","-0.707758568280098","0.0273885391477242"
"3","1","Ig","Rmacro","-0.0102877626568257","0.044471084613233"
"4","1","Ig","ConsoAmox","0.879712476878179","0.0111272649642388"
"5","1","Ig","ConsoMacro","-0.035537414924274","0.0381636416904341"
"6","1","Ig","pi","-0.971091336376178","0.00341277033998685"
"7","1","Ig","LambdaAge","-0.749785247014933","0.0300576401936965"
"8","1","Ig","TreatmentDuration_Amox","0.530983911401961","0.026348276672553"
"9","1","Ig","TreatmentDuration_Macro","0.0119058719408552","0.0493255201182259"
"10","2","Ig","Rcr","0.0895695269392799","0.0447031804295952"
"11","2","Ig","Ramox","-0.775958980818898","0.025629084870443"
"12","2","Ig","Rmacro","-0.0236772636289927","0.0511354300464102"
"13","2","Ig","ConsoAmox","0.887083363699842","0.00809279669902509"
"14","2","Ig","ConsoMacro","-0.0424571346053354","0.0405639638054662"
"15","2","Ig","pi","-0.96858757193052","0.0037928350171783"
"16","2","Ig","LambdaAge","-0.374923521738241","0.0289081259118592"
"17","2","Ig","TreatmentDuration_Amox","0.527035227114315","0.0319855484479766"
"18","2","Ig","TreatmentDuration_Macro","0.0360074862014567","0.0434157280715374"
"19","3","Ig","Rcr","0.100630433104988","0.0332643931400971"
"20","3","Ig","Ramox","0.846398337223847","0.0184633108685672"
"21","3","Ig","Rmacro","-0.0472059078363965","0.038126140451287"
"22","3","Ig","ConsoAmox","0.914915981212287","0.0078096190562524"
"23","3","Ig","ConsoMacro","-0.0181723379053758","0.0586355723468385"
"24","3","Ig","pi","-0.926537650764365","0.00622022094303496"
"25","3","Ig","LambdaAge","-0.567547293972991","0.03508797118296"
"26","3","Ig","TreatmentDuration_Amox","0.742962864929065","0.0237890429660447"
"27","3","Ig","TreatmentDuration_Macro","0.040739762970421","0.051854495642223"
"28","4","Ig","Rcr","-0.331751580603275","0.0414962824000978"
"29","4","Ig","Ramox","-0.890897313402635","0.00984651625228412"
"30","4","Ig","Rmacro","0.862803958913788","0.0123279460906691"
"31","4","Ig","ConsoAmox","-0.539965150225151","0.0274093513725476"
"32","4","Ig","ConsoMacro","0.0666698943607589","0.0450146524155473"
"33","4","Ig","pi","0.438130234529709","0.0203761793413777"
"34","4","Ig","LambdaAge","0.526064447385399","0.0366112266387494"
"35","4","Ig","TreatmentDuration_Amox","0.742587621687523","0.0165974559407584"
"36","4","Ig","TreatmentDuration_Macro","-0.850448842822835","0.0173715946158362"
"37","1","PropAns","Rcr","0.0282442907785851","0.0514164820660869"
"38","1","PropAns","Ramox","0.90703267770684","0.00792168363527433"
"39","1","PropAns","Rmacro","-0.034549172234008","0.0422597587835032"
"40","1","PropAns","ConsoAmox","-0.947178349092302","0.00613167221644567"
"41","1","PropAns","ConsoMacro","0.0305744225028294","0.0638044966186628"
"42","1","PropAns","pi","-0.653493029103943","0.0367328140626436"
"43","1","PropAns","LambdaAge","-0.581085608016101","0.0422842970947196"
"44","1","PropAns","TreatmentDuration_Amox","-0.722247045257801","0.0311756036533882"
"45","1","PropAns","TreatmentDuration_Macro","-0.0627072750959954","0.0427193818452589"
"46","2","PropAns","Rcr","0.0469663064565532","0.0551280057298026"
"47","2","PropAns","Ramox","0.850046296699282","0.0147969231527785"
"48","2","PropAns","Rmacro","0.00752058264245703","0.0404007082786372"
"49","2","PropAns","ConsoAmox","-0.877574130326714","0.0119979294453709"
"50","2","PropAns","ConsoMacro","-0.0161124019169544","0.0412478251862274"
"51","2","PropAns","pi","-0.854089991770796","0.0165318307852965"
"52","2","PropAns","LambdaAge","-0.791831389486539","0.022211461227264"
"53","2","PropAns","TreatmentDuration_Amox","-0.653863413464591","0.036858496512077"
"54","2","PropAns","TreatmentDuration_Macro","-0.0707714713162061","0.0464627781889322"
"55","3","PropAns","Rcr","-0.000256948448152402","0.0438653066650196"
"56","3","PropAns","Ramox","-0.906401927954981","0.0113983482860523"
"57","3","PropAns","Rmacro","-0.0135400920680359","0.0419999609516249"
"58","3","PropAns","ConsoAmox","0.671911416119703","0.0345417455757163"
"59","3","PropAns","ConsoMacro","-0.00757270081705549","0.0617439296148967"
"60","3","PropAns","pi","0.846163222222126","0.0150939306274356"
"61","3","PropAns","LambdaAge","0.901008640756944","0.0116623270949012"
"62","3","PropAns","TreatmentDuration_Amox","0.466066987524947","0.0364054660391807"
"63","3","PropAns","TreatmentDuration_Macro","0.0362983229834062","0.0430051661230406"
"64","4","PropAns","Rcr","0.937591412045945","0.00445436158493414"
"65","4","PropAns","Ramox","0.853281018826572","0.0140578150873044"
"66","4","PropAns","Rmacro","-0.847252893743013","0.0119123857385673"
"67","4","PropAns","ConsoAmox","-0.506463430742942","0.0266353911640044"
"68","4","PropAns","ConsoMacro","0.0994310123303427","0.0463943093134104"
"69","4","PropAns","pi","0.152479992505311","0.0421143340980035"
"70","4","PropAns","LambdaAge","0.226512763447478","0.0494042688343302"
"71","4","PropAns","TreatmentDuration_Amox","-0.568022281312015","0.0349003348841073"
"72","4","PropAns","TreatmentDuration_Macro","0.36558040724795","0.0446603253995943"
"73","1","PropMr","Rcr","-0.916676063380036","0.00748665926932368"
"74","1","PropMr","Ramox","-0.790294122504139","0.0267681439018123"
"75","1","PropMr","Rmacro","0.912679485907101","0.00701290149821044"
"76","1","PropMr","ConsoAmox","-0.744632035934814","0.0200405872112272"
"77","1","PropMr","ConsoMacro","-0.0175728272229632","0.0416903468570853"
"78","1","PropMr","pi","-0.253042916573751","0.0488250758012988"
"79","1","PropMr","LambdaAge","-0.211733199731291","0.0356676459428419"
"80","1","PropMr","TreatmentDuration_Amox","-0.403506924075422","0.0492997238921714"
"81","1","PropMr","TreatmentDuration_Macro","-0.028188592273067","0.0547026088477656"
"82","2","PropMr","Rcr","-0.897594526884948","0.00848488648230773"
"83","2","PropMr","Ramox","-0.693484309435913","0.0230505005572582"
"84","2","PropMr","Rmacro","0.896085995014871","0.00847904185474928"
"85","2","PropMr","ConsoAmox","-0.724231910869305","0.021282608191102"
"86","2","PropMr","ConsoMacro","0.00796260116943185","0.045932347482017"
"87","2","PropMr","pi","-0.628197574569967","0.021915599751694"
"88","2","PropMr","LambdaAge","-0.54826352420607","0.0328852030850306"
"89","2","PropMr","TreatmentDuration_Amox","-0.452390900154652","0.0477783619380937"
