"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-98.9574844183337,-98.9818751638937,-98.9851096364607,-99.0018810952426,-99.2031793562633,-99.0848868077664,-98.8178983600634,-99.066901766737,-99.1474102238152,-99.0615545384246,-98.8680571550044,-98.797605949685,-99.2027600682105,-99.0846124042284,-98.8185624728204,-98.8788600214906
"2",-98.9603670323335,-98.9831231303713,-98.9847823021935,-99.0015937572815,-99.2041980993066,-99.0873334489084,-98.8259435741121,-99.0519286948996,-99.1826189944907,-99.078034177982,-98.8445906346618,-98.8444543878511,-99.2037751738413,-99.0870539353453,-98.8265993613384,-98.8756413977648
"3",-98.9616633081118,-98.9832176698033,-98.9851060781999,-99.0023412289872,-99.1803823435218,-99.0755777393466,-98.8358748516454,-99.0631273566358,-99.1406872000754,-99.0588966572685,-98.872205412093,-98.8099602731931,-99.1799242321216,-99.0752835104539,-98.8365954806211,-98.866265158357
"4",-98.9650344381016,-98.9845571550414,-98.9879838776768,-99.0015422178733,-99.1932382323227,-99.0855717641355,-98.837878467134,-99.0603687388252,-99.1490002376653,-99.0659379851645,-98.8751587305526,-98.815418832222,-99.192789641009,-99.0852731773103,-98.8385034422872,-98.8786171737729
"5",-98.9589770386526,-98.9824902936082,-98.9879712411888,-98.998500161563,-99.21243520997,-99.0903163817606,-98.8138565445265,-99.0974144906481,-99.1122924386058,-99.0477686544138,-98.9016986260488,-98.7766126988917,-99.2120090085412,-99.0900387123082,-98.8145398487477,-98.9190517854501
"6",-98.9664757555406,-98.9848975478843,-98.9908555239627,-98.9991311918728,-99.2093632501965,-99.0975385551436,-98.8232115241674,-99.1003367720327,-99.0990005876386,-99.0461397265159,-98.91645864096,-98.7711221455814,-99.2088701095707,-99.097193356057,-98.8238732861565,-98.9257091629634
"7",-98.9654823274795,-98.9845531080226,-98.9865433656088,-99.0023156488954,-99.2046834352951,-99.0929080507832,-98.8200118541243,-99.0434002450022,-99.1760138877698,-99.0798204925481,-98.8454608411954,-98.8183466144872,-99.2041942130903,-99.0925746713617,-98.820737887503,-98.8604194567451
"8",-98.9630120876403,-98.9836686995187,-98.9876125530479,-98.9992455671118,-99.2035680080385,-99.0915421639068,-98.8326108208327,-99.0573096927078,-99.1605633043159,-99.0721768508478,-98.8681415209824,-98.8397438059792,-99.2031987535091,-99.0912961670562,-98.8331572771835,-98.9007811611142
"9",-98.9644987783845,-98.9841877048319,-98.986468106212,-99.0015911242086,-99.2017191271323,-99.0920797866817,-98.8223302707716,-99.0468296010341,-99.1940077496966,-99.0884589644925,-98.829386225363,-98.8642935452718,-99.2012285890994,-99.0917446623681,-98.8230405075826,-98.8748657912532
"10",-98.9659620055501,-98.9849405388636,-98.9861733011947,-99.0020826947216,-99.1819631399675,-99.0805712821941,-98.8475385503613,-99.030424353762,-99.1832756540717,-99.0810604565861,-98.8466872772669,-98.8607596412952,-99.1815405901007,-99.0802945893986,-98.8481377653243,-98.858245490799
