"","t","Pen_S","Pen_I","Pen_R","Pen_NS","Macro_S","Macro_R","Multi_R","Totcarrier_T","Reduction","Scenario","Theta"
"366",365,0.574729950781555,0.360826408001685,0.0644436412167595,0.425270049218445,0.722497158099491,0.277502841900509,0.246695790504035,0.520124263195096,1,1,0
"3661",365,0.614206442667817,0.331969535705983,0.0538240216261993,0.385793557332183,0.743125383545132,0.256874616454868,0.223922712881305,0.530453348475354,2,1,0
"3662",365,0.64981374742894,0.305718317601002,0.0444679349700574,0.35018625257106,0.76173548907725,0.23826451092275,0.203369523470657,0.541824639063824,3,1,0
"3663",365,0.681364428976187,0.282254579247119,0.0363809917766931,0.318635571023812,0.778225875399099,0.221774124600901,0.185148336116951,0.554089772475774,4,1,0
"3664",365,0.574729950781555,0.360826408001685,0.0644436412167595,0.425270049218445,0.722497158099491,0.277502841900509,0.246695790504035,0.520124263195096,1,2,0
"3665",365,0.587722398122418,0.352330700412127,0.0599469014654545,0.412277601877581,0.729277837920065,0.270722162079935,0.239216043825675,0.524217807843141,2,2,0
"3666",365,0.603489012066622,0.341856951888707,0.0546540360446711,0.396510987933378,0.737509582796859,0.262490417203142,0.230132105482556,0.52951783204745,3,2,0
"3667",365,0.627975264324533,0.324827617194864,0.0471971184806032,0.372024735675467,0.750300109115162,0.249699890884838,0.216008575436988,0.538070522988942,4,2,0
"3668",365,0.574729950781555,0.360826408001685,0.0644436412167595,0.425270049218445,0.722497158099491,0.277502841900509,0.246695790504035,0.520124263195096,1,3,0
"3669",365,0.531660211194222,0.408912994075076,0.0594267947307016,0.468339788805778,0.699873612446201,0.300126387553799,0.271615994643087,0.525501122079703,2,3,0
"36610",365,0.508527962777386,0.434707872473734,0.0567641647488807,0.491472037222614,0.68773254230867,0.31226745769133,0.284991015067631,0.529149777730709,3,3,0
"36611",365,0.482821759616309,0.463345020136087,0.0538332202476041,0.517178240383691,0.674235386603876,0.325764613396125,0.299859628495602,0.532649513264432,4,3,0
"36612",365,0.574729950781555,0.360826408001685,0.0644436412167595,0.425270049218445,0.722497158099491,0.277502841900509,0.246695790504035,0.520124263195096,1,4,0
"36613",365,0.588001481872219,0.354972479688254,0.0570260384395279,0.411998518127782,0.700678504785952,0.299321495214049,0.260392745543846,0.5196805184905,2,4,0
"36614",365,0.596335970660823,0.353313682970202,0.0503503463689752,0.403664029339177,0.676451801441739,0.323548198558261,0.275012833339038,0.520493079570284,3,4,0
"36615",365,0.599933774192218,0.355723942864225,0.0443422829435572,0.400066225807782,0.649472827568365,0.350527172431635,0.290819128230199,0.522548711352045,4,4,0
"36616",365,0.575925864576698,0.360882450084587,0.0631916853387146,0.424074135423302,0.723299491228911,0.276700508771089,0.24585348984982,0.520157389076574,1,1,0.25
"36617",365,0.618217443643106,0.329778909421269,0.0520036469356252,0.381782556356894,0.745451245798028,0.254548754201972,0.221422573177721,0.530055337075896,2,1,0.25
"36621",365,0.656142810250554,0.301630859145769,0.0422263306036776,0.343857189749446,0.765323322794816,0.234676677205184,0.199501918557192,0.541127867891031,3,1,0.25
"36631",365,0.689450246853495,0.27667657618314,0.0338731769633652,0.310549753146505,0.782780269988722,0.217219730011278,0.180240715776641,0.553206873063875,4,1,0.25
"36641",365,0.575925864576698,0.360882450084587,0.0631916853387146,0.424074135423302,0.723299491228911,0.276700508771089,0.24585348984982,0.520157389076574,1,2,0.25
"36651",365,0.591264161501533,0.350618070443939,0.0581177680545282,0.408735838498467,0.73132736904674,0.26867263095326,0.237005387815436,0.524056738677407,2,2,0.25
"36661",365,0.609305712343358,0.338380998026668,0.0523132896299741,0.390694287656642,0.740775116741778,0.259224883258222,0.226590189769361,0.529166197400271,3,2,0.25
"36671",365,0.635954095491303,0.319585919865617,0.0444599846430792,0.364045904508696,0.75473693546495,0.24526306453505,0.211192212956048,0.537496634915916,4,2,0.25
"36681",365,0.575925864576698,0.360882450084587,0.0631916853387146,0.424074135423302,0.723299491228911,0.276700508771089,0.24585348984982,0.520157389076574,1,3,0.25
"36691",365,0.531054842097983,0.411134569975958,0.0578105879260585,0.468945157902017,0.699764506776288,0.300235493223712,0.271785409586078,0.525637256292444,2,3,0.25
"366101",365,0.506612876444398,0.438359705874048,0.0550274176815531,0.493387123555601,0.686956118152049,0.31304388184795,0.285899682287028,0.529358293007463,3,3,0.25
"366111",365,0.47999886596265,0.468148300685396,0.0518528333519539,0.52000113403735,0.67300650479764,0.32699349520236,0.301271449696141,0.532767174675636,4,3,0.25
"366121",365,0.575925864576698,0.360882450084587,0.0631916853387146,0.424074135423302,0.723299491228911,0.276700508771089,0.24585348984982,0.520157389076574,1,4,0.25
"366131",365,0.589600614810946,0.354785101588086,0.0556142836009685,0.410399385189054,0.700433200256288,0.299566799743712,0.260207286973869,0.519470648150463,2,4,0.25
"366141",365,0.597972381723608,0.353218693364357,0.0488089249120351,0.402027618276392,0.674979878978332,0.325020121021668,0.275522106811966,0.520126153533669,3,4,0.25
"366151",365,0.601262675447723,0.356041212781089,0.0426961117711877,0.398737324552277,0.646545758308112,0.353454241691888,0.292099700040751,0.52211016848805,4,4,0.25
"36618",365,0.57641663902775,0.36117339015445,0.0624099708177992,0.423583360972249,0.723550118652598,0.276449881347402,0.245564000760288,0.520133181252021,1,1,0.5
"36619",365,0.62110018656466,0.328178095974543,0.0507217174607974,0.37889981343534,0.746991975027693,0.253008024972307,0.219723160391812,0.5297065024541,2,1,0.5
"36622",365,0.66096517559982,0.29845629796395,0.0405785264362301,0.33903482440018,0.767915879569383,0.232084120430617,0.196656871888746,0.540563321029313,3,1,0.5
"36632",365,0.695699957993416,0.272299099358721,0.0320009426478644,0.304300042006585,0.786154709653867,0.213845290346134,0.17654905752202,0.552518257648829,4,1,0.5
"36642",365,0.57641663902775,0.36117339015445,0.0624099708177992,0.423583360972249,0.723550118652598,0.276449881347402,0.245564000760288,0.520133181252021,1,2,0.5
"36652",365,0.593931522639841,0.3492742916567,0.0567941857034596,0.406068477360159,0.73273177738438,0.26726822261562,0.235447418601876,0.523865485617918,2,2,0.5
"36662",365,0.614020872141984,0.335456919761487,0.0505222080965294,0.385979127858016,0.743270139391271,0.256729860608729,0.223835066711888,0.528821336204518,3,2,0.5
