"","t","Rcr","Pen_S","Pen_I","Pen_R","Macro_S","Macro_R","Multi_S","Multi_R","Totcarrier_T","Cross_T","Reduction","Scenario","Lambda","pi"
"1",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,1,1,0.024771212996139,0.522238213123593
"366",365,0.58,0.576527857016663,0.356495773492116,0.0669763694912211,0.724025339482235,0.275974660517764,0.545727299716356,0.245174103217458,0.522233421442038,0.57896158526561,1,1,0.024771212996139,0.522238213123593
"367",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,2,1,0.024771212996139,0.522238213123593
"732",365,0.58,0.621819018570056,0.323996499517837,0.0541844819121081,0.747757766401291,0.252242233598709,0.588593960136043,0.219017175164696,0.531374845611839,0.579133234930449,2,1,0.024771212996139,0.522238213123593
"733",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,3,1,0.024771212996139,0.522238213123593
"1098",365,0.58,0.662110074901119,0.294770104624148,0.0431198204747333,0.768880658289551,0.231119341710449,0.626726019882149,0.195735286691479,0.541774966598633,0.57928713510531,3,1,0.024771212996139,0.522238213123593
"1099",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,4,1,0.024771212996139,0.522238213123593
"1464",365,0.58,0.697082767735225,0.269113618425728,0.0338036138390473,0.787223364702094,0.212776635297907,0.659822340873978,0.17551620843666,0.553247220898881,0.579419688752615,4,1,0.024771212996139,0.522238213123593
"1465",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,1,2,0.024771212996139,0.522238213123593
"1830",365,0.58,0.576527857016663,0.356495773492116,0.0669763694912211,0.724025339482235,0.275974660517764,0.545727299716356,0.245174103217458,0.522233421442038,0.57896158526561,1,2,0.024771212996139,0.522238213123593
"1831",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,2,2,0.024771212996139,0.522238213123593
"2196",365,0.58,0.594916188860102,0.344414910689265,0.0606689004506327,0.733654143027978,0.266345856972022,0.563136885988576,0.234566554100496,0.525882083648586,0.579056846138655,2,2,0.024771212996139,0.522238213123593
"2197",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,3,2,0.024771212996139,0.522238213123593
"2562",365,0.58,0.615759356903714,0.330543954171682,0.0536966889246039,0.744575812759567,0.255424187240433,0.58286901361039,0.222533843947108,0.53071195817588,0.579152278514546,3,2,0.024771212996139,0.522238213123593
"2563",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,4,2,0.024771212996139,0.522238213123593
"2928",365,0.58,0.644699672101586,0.310563909719599,0.0447364181788144,0.759749996985558,0.240250003014442,0.610261637443049,0.205811968355904,0.538606692845878,0.579261971339215,4,2,0.024771212996139,0.522238213123593
"2929",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,1,3,0.024771212996139,0.522238213123593
"3294",365,0.58,0.576527857016663,0.356495773492116,0.0669763694912211,0.724025339482235,0.275974660517764,0.545727299716356,0.245174103217458,0.522233421442038,0.57896158526561,1,3,0.024771212996139,0.522238213123593
"3295",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,2,3,0.024771212996139,0.522238213123593
"3660",365,0.58,0.528545466436195,0.410846094573172,0.0606084389906329,0.698907628246972,0.301092371753028,0.500306084795452,0.272852990112285,0.527665272538993,0.578747197634825,2,3,0.024771212996139,0.522238213123593
"3661",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,3,3,0.024771212996139,0.522238213123593
"4026",365,0.58,0.501961828043479,0.440639233456082,0.0573989385004393,0.685004986235832,0.314995013764168,0.475141370838876,0.288174556559565,0.531428850201879,0.578619416715558,3,3,0.024771212996139,0.522238213123593
"4027",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,4,3,0.024771212996139,0.522238213123593
"4392",365,0.58,0.452819997350518,0.496050335702892,0.0511296669465908,0.659311837719917,0.340688162280083,0.428622775293915,0.31649094022348,0.538034029019132,0.578403703883566,4,3,0.024771212996139,0.522238213123593
"4393",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,1,4,0.024771212996139,0.522238213123593
"4758",365,0.58,0.576527857016663,0.356495773492116,0.0669763694912211,0.724025339482235,0.275974660517764,0.545727299716356,0.245174103217458,0.522233421442038,0.57896158526561,1,4,0.024771212996139,0.522238213123593
"4759",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,2,4,0.024771212996139,0.522238213123593
"5124",365,0.58,0.590504435713922,0.351021057988884,0.0584745062971947,0.699343134542962,0.300656865457038,0.550624069355128,0.260776499098244,0.521454959552581,0.636823745705002,2,4,0.024771212996139,0.522238213123593
"5125",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,3,4,0.024771212996139,0.522238213123593
"5490",365,0.58,0.598542920427594,0.350586174365362,0.0508709052070445,0.671727612629187,0.328272387370813,0.547743121554996,0.277472588498215,0.52208317770694,0.69116376972042,3,4,0.024771212996139,0.522238213123593
"5491",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.522238213123593,0.58,4,4,0.024771212996139,0.522238213123593
"5856",365,0.58,0.60091390743247,0.355018756117588,0.0440673364499414,0.64071877547447,0.35928122452553,0.537251964757524,0.295619281850583,0.524106728033788,0.740740625534479,4,4,0.024771212996139,0.522238213123593
"11",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,1,1,0.0231458790132901,0.483004713815692
"3662",365,0.58,0.561695296743858,0.367104657719517,0.0712000455366256,0.715428324437599,0.284571675562401,0.53151546519068,0.254391844009224,0.483026153084268,0.580399530553426,1,1,0.0231458790132901,0.483004713815692
"3671",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,2,1,0.0231458790132901,0.483004713815692
"7321",365,0.58,0.606616185780355,0.335007610916729,0.0583762033029156,0.739020285457693,0.260979714542307,0.574018936526519,0.228382465288471,0.493058764759817,0.580558876682594,2,1,0.0231458790132901,0.483004713815692
"7331",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,3,1,0.0231458790132901,0.483004713815692
"10981",365,0.58,0.647045352685572,0.305814874729225,0.047139772585203,0.760263038610793,0.239736961389207,0.612270530695636,0.204962139399271,0.50443205315745,0.580703897678619,3,1,0.0231458790132901,0.483004713815692
"10991",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,4,1,0.0231458790132901,0.483004713815692
"14641",365,0.58,0.682593135755681,0.279866792437562,0.0375400718067569,0.778948563599245,0.221051436400755,0.645901571507577,0.184359872152651,0.516966867015658,0.580831396295018,4,1,0.0231458790132901,0.483004713815692
"14651",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,1,2,0.0231458790132901,0.483004713815692
"18301",365,0.58,0.561695296743858,0.367104657719517,0.0712000455366256,0.715428324437599,0.284571675562401,0.53151546519068,0.254391844009224,0.483026153084268,0.580399530553426,1,2,0.0231458790132901,0.483004713815692
"18311",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,2,2,0.0231458790132901,0.483004713815692
"21961",365,0.58,0.578491532686705,0.356219733844771,0.0652887334685238,0.724241126487357,0.275758873512643,0.547412764904506,0.244680105730443,0.486828527443281,0.580486810360039,2,2,0.0231458790132901,0.483004713815692
"21971",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,3,2,0.0231458790132901,0.483004713815692
"25621",365,0.58,0.598134141341469,0.343303685314505,0.0585621733440257,0.734554645800444,0.265445354199555,0.566002525074213,0.233313737932299,0.491900177767563,0.580576162182884,3,2,0.0231458790132901,0.483004713815692
"25631",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,4,2,0.0231458790132901,0.483004713815692
"29281",365,0.58,0.626811180775412,0.323658515649492,0.049530303575096,0.74962272394088,0.25037727605912,0.593137788738084,0.216703884021792,0.500364182757591,0.580681609036572,4,2,0.0231458790132901,0.483004713815692
"29291",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,1,3,0.0231458790132901,0.483004713815692
"32941",365,0.58,0.561695296743858,0.367104657719517,0.0712000455366256,0.715428324437599,0.284571675562401,0.53151546519068,0.254391844009224,0.483026153084268,0.580399530553426,1,3,0.0231458790132901,0.483004713815692
"32951",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,2,3,0.0231458790132901,0.483004713815692
"36601",365,0.58,0.517248887052038,0.417801128933484,0.064949984014478,0.692102037165023,0.307897962834977,0.489454301760505,0.280103377543444,0.488780410376165,0.580223162683081,2,3,0.0231458790132901,0.483004713815692
"36611",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.483004713815692,0.58,3,3,0.0231458790132901,0.483004713815692
